,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ANO,theta_065,imagAPI,OCRSearch,theta_080,theta_099,PercentEspAcerto,IN_ENCCEJA,IN_ENEM
3264,178,MT,117852,C,"11,0",0,,"2,14382","1,53236","0,18146",CINZA,PROVA CINZA REGULAR,,,2021,"653,2280445098877",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117852.png,"Questão 178 === enemanar

Um parque temático brasileiro construiu uma réplica em
miniatura do castelo de Liechtenstein. O castelo original,
representado na imagem, está situado na Alemanha e foi
reconstruído entre os anos de 1840 e 1842, após duas
destruições causadas por guerras

O castelo possuiuma ponte de 38,4 m de comprimento
e 1.68 m de largura. O artesão que trabalhou para o
parque produziu a réplica do castelo, em escala. Nessa
obra, as medidas do comprimento e da largura da ponte

eram, respectivamente, 160 cm e 7 cm

A escala utilizada para fazer a réplica é
576

240

2”

42

24

voos
","705,9018611907959","858,1345081329346","59,07",0,1
1281,174,MT,17264,C,"12,0",0,,"2,21669","1,90224","0,18132",AZUL,PROVA AZUL REGULAR,,"0,0",2016,"690,2329921722412",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/17264.png,"QUESTÃO 174 irmao
Um paciente necessita de reidratação endovenosa

feita por meio de cinco frascos de soro durante 24 h

Cada frasco tem um volume de 800 mL de soro.

Nas primeiras quatro horas, deverá receber 40% do total

a ser aplicado. Cada miliitro de soro corresponde a

12 gotas.

O número de gotas por minuto que o paciente deverá

receber após as quatro primeiras horas será

oi

o2

ou

ou

CER
","741,168737411499","888,3945941925049","59,07",0,1
2752,162,MT,86075,A,"13,0",0,,"3,22448","1,54566","0,16998",CINZA,PROVA CINZA PPL,,"0,0",2020,"654,5679569244385",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/86075.png,"Questão 162 D/menamonmenamonnenem

Um motorista fez uma viagem de 100 km partindo
da cidade A até a cidade B. Nos primeiros 30 km, a
velocidade média na qual esse motorista viajou foi de
90 kmih. No segundo trecho, de 40 km, a velocidade
média foi de 80 kmh. Suponha que a viagem foi realizada
em 1h30 min.

Avelocidade média do motorista, em quilômetro por hora,
no último trecho da viagem foi de

as,
87
7”.
85.

Ooo

113.
","690,1519298553467","791,2318706512451","58,5",0,1
3276,145,MT,82880,D,"14,0",0,,"2,15753","1,94018","0,20437",CINZA,PROVA CINZA REGULAR,,,2021,"694,021463394165",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/82880.png,"Questão 145 === enemanar

Um povoado com 100 habitantes está passando por
uma situação de seca prolongada e os responsáveis
pela administração pública local decidem contratar a
construção de um reservatório. Ele deverá ter a forma
de um cilindro circular reto, cuja base tenha 5 metros
de diâmetro intemo, e atender à demanda de água da
população por um período de exatamente sete dias
consecutivos. No oitavo dia, o reservatório vazio é
completamente reabastecido por carros-pipa.

Considere que o consumo médio diário por habitante
é de 120 litros de água. Use 3 como aproximação para 7.
","744,5995807647705","896,2814807891846","60,22",0,1
1390,12,MT,18126,D,"15,0",0,,"2,02097","1,37153","0,18666",CINZA,PROVA CINZA PPL,,"0,0",2017,"637,1467113494873",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/18126.png,"QUESTÃO 147

Ao abrir um negócio, um microempresário descreveu suas vendas, em milhares de reais (unidade monetária
brasileira), durante os dois primeiros anos. No primeiro ano, suas vendas cresceram de modo linear. Posteriormente,
ele decidiu investir em propaganda, o que fez suas vendas crescerem de modo exponencial.

Qual é o gráfico que melhor descreve as vendas em função do tempo?

002 04 05 08 10 12 14 16 18 20 0002 04 05 05 10 12 14 15 15 20
Tempo (ano) Tempo (ano)

702 04 00 08 10 12 14 16 18 20 0002 04 06 05 10 12 14 16 15 20
Tempo (ano) Tempo (ano)

0 02 04 05 08 10 12 14 16 18 20
Tempo (ano)
","692,6028728485107","854,1862964630127","59,33",0,1
1413,15,MT,9714,A,"16,0",0,,"1,29608","2,2573","0,10497",CINZA,PROVA CINZA PPL,,"0,0",2017,"725,7359027862549",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/9714.png,"QUESTÃO 150

Os computadores operam com dados em
formato binário (com dois valores possíveis apenas
para cada dígito), utilizando potências de 2 para
representar quantidades. Assim, tem-se, por exemplo:
1kB=2 Bytes, 1 MB=2'ºkBe 1 GB=2' MB, sendo
que 2'º = 1 024. Nesse caso, tem-se que kB significa
quilobyte, MB significa megabyte e GB significa
gigabyte. Entretanto, a maioria dos fabricantes
de discos rígidos, pendrives ou similares adotam
preferencialmente o significado usual desses prefixos,
em base 10. Assim, nos produtos desses fabricantes,
1GB = 10º MB = 10º kB = 10º Bytes. Como a maioria
dos programas de computadores utilizam as unidades
baseadas em potências de 2, um disco informado
pelo fabricante como sendo de 80 GB aparecerá aos
usuários como possuindo, aproximadamente, 75 GB.

Um disco rígido está sendo vendido como
possuindo 500 gigabytes, considerando unidades em
potências de 10.

Qual dos valores está mais próximo do valor informado
por um programa que utilize medidas baseadas em
potências de 2?

O 468 cs
O 476cB
O 488 GB
O 500GB
O 53cB
","821,8376636505127","1071,621656417847","55,25",0,1
1293,180,MT,43030,D,"17,0",0,,"1,6351","1,82886","0,16743",CINZA,PROVA CINZA PPL,,"0,0",2016,"682,88254737854",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/43030.png,"QUESTÃO 180
Um clube tem um campo de futebol com área total

de 8 000 mê, correspondente ao gramado. Usualmente, a

poda da grama desse campo é feita por duas máquinas.

do clube próprias para o serviço. Trabalhando no mesmo

ritmo, as duas máquinas podam juntas 200 mê por hora.

Por motivo de urgência na realização de uma partida

de futebol, o administrador do campo precisará solicitar

ao clube vizinho máquinas iguais às suas para fazer o

serviço de poda em um tempo máximo de 5h

Utilizando as duas máquinas que o clube já possui, qual

o número mínimo de máquinas que o administrador do

campo deverá solicitar ao clube vizinho?

04

06

es

ou

e 16

","753,3090114593506","952,5840282440186","58,37",0,1
2864,156,MT,111488,D,"18,0",0,,"2,94811","1,08489","0,17475",CINZA,PROVA CINZA PPL,,"0,0",2020,"608,4935665130615",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/111488.png,"Questão 156 D77nenamonmenamonomensm

Provedores de conteúdos postam anúncios de
empresas em seus websites. O provedor A cobra R$ 0,10
por clique feito no anúncio, além do pagamento de uma
taxa de contratação de R$ 50,00. O provedor B cobra uma
taxa de contratação por anúncio mais atrativa, no valor de
R$ 20,00, mais um valor por clique feito no anúncio. Para
um anúncio que receberá 100 cliques, o provedor B fixará
uma proposta com um valor a ser cobrado por clique, de
modo que venha a receber, pelo menos, o mesmo total
que receberia o provedor A.

O gerente do provedor B deve avaliar os valores por
clique a serem fixados.

O valor mínimo que o gerente do provedor B deverá
","647,1531391143799","757,7674388885498","58,74",0,1
3313,170,MT,38868,B,"19,0",0,,"2,52991","0,48804","0,18815",CINZA,PROVA CINZA PPL,,,2021,"548,8078594207764",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/38868.png,"Questão 170 enemaar

Uma fórmula para calcular o Índice de Massa
Corporal (IMC) foi publicada pelo Departamento de
Nutrição da Universidade de São Paulo. O estudo
propõe uma equação capaz de identificar os falsos
magros que, apesar de exibirem uma silhueta esguia,
apresentam altos níveis de gordura, e os falsos gordos,
que têm um IMG alto em decorrência de ganho de
massa muscular, e não de gordura.

A equação considera a massa do indivíduo, além do
peso e da estatura. A fórmula é expressa pela soma do
triplo da massa (M), em quilograma, com o quádruplo do
percentual de gordura (G), tudo dividido pela altura (H),
em centímetro.

Decore etila comb Aceso em: 7 no 22 (tato

A expressão algébrica que representa a nova maneira de
calcular o IMC é dada por

«6
om
q Mao
H
o dM+Í:6
H
M+46
H
e 4-Gu+6)

H
","593,001127243042","722,1047878265381","59,41",0,1
3449,152,MT,31516,A,"20,0",0,,"1,50662","1,77699","0,15235",CINZA,PROVA CINZA REGULAR,,"0,0",2022,"677,7064800262451",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/31516.png,"QUESTÃO 152

Em uma competição de velocidade, diz-se que há uma
ultrapassagem quando um veículo que está atrás de outro
passa à sua frente, com ambos se deslocando no mesmo
sentido. Considere uma competição automobilística entre
cinco carros em uma pista com 100 m de comprimento,
onde todos largam no mesmo instante e da mesma linha.
O gráfico mostra a variação da distância percorrida por cada
veículo, em função do tempo, durante toda a competição.

100:

Distância (m)

0:

[o] Tempo (s) 15

Qual o número de ultrapassagens, após o início da
competição, efetuadas pelo veículo que chegou em
","755,6908130645752","971,6026782989502","57,62",0,1
2360,158,MT,81433,C,"21,0",0,,"2,43926","1,80535","0,20427",Cinza,PROVA CINZA PPL,,"0,0",2019,"680,5269718170166",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/81433.png,"Questão 158

Em um laboratório, cientistas observaram o

crescimento de uma população de bactérias submetida

a uma dieta magra em fósforo, com generosas porções

de arsênico. Descobriu-se que o número de bactérias

dessa população, após t horas de observação, poderia

ser modelado pela função exponencial M(t) = Npe!, em

que N é o número de bactérias no instante do início

da observação (t = 0) e representa uma constante real

maior que 1, e k é uma constante real positiva.
Sabe-se que, após uma hora de observação, o

número de bactérias foi triplicado.

Cinco horas após o início da observação, o número de

bactérias, em relação ao número inicial dessa cultura, foi

os

O 15m

O 243

O 360m,

e 720n,
","725,2805233001709","859,4434261322021","60,21",0,1
1550,32,MT,87751,A,"22,0",0,,"1,03002","2,41844","0,24519",CINZA,PROVA CINZA REGULAR,,"0,0",2017,"741,8458461761475",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/87751.png,"QUESTÃO 167

Pivô central é um sistema de irrigação muito usado
na agricultura, em que uma área circular é projetada para
receber uma estrutura suspensa. No centro dessa área, há
uma tubulação vertical que transmite água através de um
cano horizontal longo, apoiado em torres de sustentação,
as quais giram, sobre rodas, em tomo do centro do pivô,
também chamado de base, conforme mostram as figuras.
Cada torre move-se com velocidade constante.

Um pivô de três torres (T,, T, e T.) será instalado
em uma fazenda, sendo que as distâncias entre torres
consecutivas bem como da base à torre T, são iguais a
50 m. O fazendeiro pretende ajustar as velocidades das
torres, de tal forma que o pivô efetue uma volta completa
em 25 horas. Use 3 como aproximação para %

Para atingir seu objetivo, as velocidades das torres T, T,
e T, devem ser, em metro por hora, de

012,4e3

O 6,12e18

O 2,466

O 300,1200e2700.
O 600,24008 5400.
","840,9016132354736","1160,334825515747","62,26",0,1
2739,171,MT,85623,B,"23,0",0,,"2,19138","2,6229","0,22455",AMARELA,MATEMATICA DIGITAL AMARELA,,"0,0",2020,"762,2950077056885",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/85623.png,"Na última eleição para a presidência de um clube, duas chapas se inscreveram (te ll). Há
dois tipos de sócio: patrimoniais e contribuintes. Votos de sócios patrimoniais têm peso 0,6 e
de sócios contribuintes têm peso 0,4. A chapa | recebeu 850 votos de sócios patrimoniais e 4
300 de sócios contribuintes; a chapa Il recebeu 1 300 votos de sócios patrimoniais e 2 120 de
sócios contribuintes. Não houve abstenções, votos em branco ou nulos, e a chapa | foi
vencedora. Haverá uma nova eleição para a presidência do clube, com o mesmo número e
tipos de sócios, e as mesmas chapas da eleição anterior. Uma consulta feita pela chapa Il
mostrou que os sócios patrimoniais não mudarão seus votos, e que pode contar com os votos
dos sócios contribuintes da última eleição. Assim, para que vença, será necessária uma
campanha junto aos sócios contribuintes com o objetivo de que mudem seus votos para a
chapa

A menor quantidade de sócios contribuintes que precisam trocar seu voto da chapa | para a
chapa Il para que esta seja vencedora é

ORE

753.

1091

0000
E)
","810,5175495147705","960,2420330047609","61,23",0,1
605,146,MT,15252,C,"24,0",0,,"2,53116","0,92017","0,16047",Cinza,PROVA CINZA PPL,,"0,0",2015,"592,0093059539795",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/15252.png,"QUESTÃO 146

O modelo predador-presa foi proposto de forma
independente por Alfred J. Lotka, em 1925, e Vito
Volterra, em 1926. Esse modelo descreve a interação
entre duas espécies, sendo que uma delas dispõe de
alimentos para sobreviver (presa) e a outra se alimenta
da primeira (predador). Considere que o gráfico
representa uma interação predador-presa, relacionando
a população do predador com a população da sua presa
ao longo dos anos

Dlponies em: evenicupe com e Acesco em: 22 mar 2012 (adapta

De acordo com o gráfico, nos primeiros quarenta anos,
quantas vezes a população do predador se igualou à
da presa?

02

000
onsu
","637,9406452178955","766,5722370147705","58,02",0,1
666,167,MT,24254,A,"25,0",0,,"2,93312","1,68348","0,21436",Cinza,PROVA CINZA PPL,,"0,0",2015,"668,3509349822998",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/24254.png,"QUESTÃO 167

No comércio é comumente utilizado o salário mensal
comissionado. Além de um valor fixo, o vendedor tem um
incentivo, geralmente um percentual sobre as vendas.
Considere um vendedor que tenha salário comissionado,
sendo sua comissão dada pelo percentual do total de
vendas que realizar no período. O gráfico expressa o
valor total de seu salário, em reais, em função do total de
vendas realizadas, também em reais.

Total do
i Vendas (R$)

O 10000 2000 30000 40000 0000 Goo

do i

Qual o valor percentual da sua comissão?
O 20%
O 50%
O 167%
O 277%
e 500%
","704,9767971038818","816,692590713501","60,72",0,1
3288,145,MT,60731,A,"26,0",0,,"2,20126","0,43185","0,15812",CINZA,PROVA CINZA PPL,,,2021,"543,1931018829346",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/60731.png,"Questão 145 enem

Um laboratório farmacêutico pretende implementar a entrega própria de seus produtos em uma cidade, dentre as
cinco cidades onde hoje esse serviço é terceirizado. Obteve relatórios dos seus entregadores terceirizados destacando:
a quantidade (em litro) de combustível gasto em cada dia de entrega, o valor do combustível na respectiva cidade da
entrega e os gastos com a limpeza diária do veículo após as entregas realizadas.

Os valores desses itens, em real, estão apresentados no quadro.

Cidade São Paulo [ Curitiba [ Belo Horizonte [ Rio de Janeiro [ Brasília.
Litros de combustível gastos pordia | 7,5 95 80 14,5 130
Preço da limpeza do carro 2000 | 1550 16,50 18,00 15,00
Preço por litro do combustível 2,50 2,40 224 210 3,00

Adiretoria desse laboratório implementará a entrega própria na cidade que apresentar o menor gasto diário desse

serviço.

Em qual cidade a implementação do serviço de entrega própria será realizada?

O Belo Horizonte.
O Brasília.
O curitiba.
O Rio de Janeiro.
e

São Paulo.
","596,1577892303467","744,0297603607178","57,91",0,1
3282,139,MT,63845,D,"27,0",0,,"1,93567","1,84551","0,17207",CINZA,PROVA CINZA PPL,,,2021,"684,5419406890869",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/63845.png,"Questão 139 enem

A qualidade de sementes é verificada, entre outros
fatores, pelo Índice de germinação. Uma grande empresa
afirma que o índice de germinação de suas sementes
é de 90%. Essa empresa e dez pequenos produtores
que formam uma cooperativa estão concorrendo a um
auxilio financeiro que permitirá aumentar os negócios.
Os cooperados querem preparar um documento técnico
comparando a qualidade de suas sementes com as da
empresa. Eles discutiram a possibilidade de colocar
nesse documento frases como:

1-A média de germinação de nossas sementes é
superior ao índice de germinação anunciado pela
empresa.

!-A mediana de germinação de nossas sementes é
superior ao Índice de germinação anunciado pela
empresa.

1 =A média de germinação de nossas sementes é
igual ao Índice de germinação anunciado pela
empresa.

IV—A moda de germinação de nossas sementes é
igual ao índice de germinação anunciado pela
empresa.

VA mediana de germinação de nossas sementes
é igual ao índice de germinação anunciado pela
empresa.

Eles decidiram anotar a porcentagem de germinação
das sementes de cada cooperado, analisar as frases
é decidir qual era a correta para, então, colocá-la no
documento.

As porcentagens anotadas foram 90%, 65%, 70%,
75%, 95%, 959%, 90%, 80%, 80% e 90%.
","743,6578273773193","912,079095840454","58,6",0,1
614,161,MT,16923,D,"28,0",0,,"2,80308","2,17129","0,11508",Cinza,PROVA CINZA PPL,,"0,0",2015,"717,1218395233154",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/16923.png,"QUESTÃO 161

Um bairro residencial tem cinco mil moradores, dos
quais mil são classificados como vegetarianos. Entre os
vegetarianos, 40% são esportistas, enquanto que, entre
os não vegetarianos, essa porcentagem cai para 20%.

Uma pessoa desse bairro, escolhida ao acaso, é
esportista.

A probabilidade de ela ser vegetariana é

2
o
1
os
1
º 4
1
o
5
e,
","761,0433101654053","876,6524791717529","55,75",0,1
3307,164,MT,117672,C,"29,0",0,,"1,63194","0,42624","0,17509",CINZA,PROVA CINZA PPL,,,2021,"542,6113605499268",https://niedsonemanoel.com.br/enem/An%C3%A1lise%20de%20Itens/OrdenarPorTri/1.%20Itens%20BNI_/117672.png,"Questão 164 enem
Cinco atletas que participarão de uma maratona

treinam frequentemente. As distâncias percorridas por

eles no último treino estão registradas, em quilômetro, no

quadro.

428 [ 416 [ 418 | 434 | 434

Um sexto atleta, que também participará da maratona,

pretende realizar um treino percorrendo uma distância

igual à média das distâncias percorridas pelos cinco

atietas no último treino por eles realizado.

A distância, em quilômetro, que esse sexto atleta deverá

percorrer em seu treino é

“8

424.

26.

428

43.

o
o
o
e
","612,4370098114014","812,272310256958","58,75",0,1
